stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6196,6196,Bayers Rd Before Oxford St (6196),,44.655206,-63.609887,,,,,,0
6197,6197,Bayers Rd After Romans Ave (6197),,44.652511,-63.621354,,,,,,0
6198,6198,Bayers Rd After Barnstead Lane (6198),,44.653162,-63.622913,,,,,,0
6199,6199,Bayers Rd Opposite Vaughan Ave (6199),,44.651951,-63.618446,,,,,,0
6201,6201,Bayers Rd Before Connolly St (6201),,44.653681,-63.612294,,,,,,0
6202,6202,Robie St Before Oakland Rd (6202),,44.63447,-63.583758,,,,,,0
6203,6203,Bayers Rd Before Connolly St (6203),,44.65337,-63.612837,,,,,,0
6204,6204,Beacon St After Harris Rd (6204),,44.678992,-63.542494,,,,,,0
6205,6205,Beacon St Before Harris Rd (6205),,44.679008,-63.542449,,,,,,0
6206,6206,Beaufort Ave After South St (6206),,44.633856,-63.595119,,,,,,0
6207,6207,Beaufort Ave After Inglis St (6207),,44.631245,-63.589558,,,,,,0
6208,6208,Beaufort Ave Before Inglis St (6208),,44.631051,-63.58909,,,,,,0
6209,6209,Beaufort Ave Before Oakland Rd (6209),,44.632769,-63.593085,,,,,,0
6210,6210,Beaufort Ave Before Oakland Rd (6210),,44.632546,-63.592304,,,,,,0
6211,6211,Beaufort Ave Before South St (6211),,44.633935,-63.595035,,,,,,0
6212,6212,Beaver Bank Rd After Judy Ave (6212),,44.777409,-63.695324,,,,,,0
6213,6213,Beaver Bank Rd After Gloria Ave (6213),,44.780439,-63.693004,,,,,,0
6214,6214,Beaver Bank Rd Before Gloria Ave (6214),,44.780541,-63.692867,,,,,,0
6215,6215,Beaver Bank Rd After Douglas Ave (6215),,44.777348,-63.695206,,,,,,0
6216,6216,Bedford Hwy At MSVU (6216),,44.672703,-63.644225,,,,,,0
6217,6217,Bedford Hwy After Seton Rd (6217),,44.670261,-63.641485,,,,,,0
6218,6218,Bluewater Rd After Command Ct (6218),,44.72183,-63.711424,,,,,,0
6219,6219,Bedford Hwy Opposite MSVU (6219),,44.673022,-63.644397,,,,,,0
6220,6220,Bedford Hwy After Larry Uteck Blvd (6220),,44.699809,-63.660973,,,,,,0
6221,6221,Bedford Hwy Opposite Fern Ave (6221),,44.704809,-63.663083,,,,,,0
6222,6222,Bedford Hwy Opposite Kent Ave (6222),,44.690454,-63.659792,,,,,,0
6223,6223,Bedford Hwy Opposite Lodge Dr (6223),,44.692341,-63.660329,,,,,,0
6224,6224,Bedford Hwy Before Welch Ln (6224),,44.706211,-63.66419,,,,,,0
6225,6225,MacDonald Ave Opposite 1st Thornhill Dr (6225),,44.699215,-63.595282,,,,,,0
6226,6226,Bedford Hwy Before Rocky Lake Dr (6226),,44.735275,-63.655204,,,,,,0
6227,6227,Bedford Hwy Opposite Spring St (6227),,44.726559,-63.666137,,,,,,0
6228,6228,Bedford Hwy Before Union St (6228),,44.731225,-63.659993,,,,,,0
6229,6229,Bedford Hwy Before Lindsay Hill (6229),,44.721188,-63.671492,,,,,,0
6230,6230,Bedford Hwy After Southgate Dr (6230),,44.710905,-63.67121,,,,,,0
6231,6231,Bluewater Rd Before Topsail Ct (6231),,44.722915,-63.709736,,,,,,0
6232,6232,Bedford Hwy Before Millview Ave (6232),,44.708104,-63.666217,,,,,,0
6233,6233,Bedford Hwy At Lodge Dr (6233),,44.692499,-63.660468,,,,,,0
6234,6234,Bedford Hwy After Shaunslieve Dr (6234),,44.696049,-63.660848,,,,,,0
6235,6235,Bedford Hwy After Convoy Run (6235),,44.718451,-63.674428,,,,,,0
6236,6236,Bedford Hwy Before Dartmouth Rd (6236),,44.732635,-63.656496,,,,,,0
6237,6237,Bedford Hwy Before Dartmouth Rd (6237),,44.731308,-63.659168,,,,,,0
6238,6238,Bedford Hwy After Dartmouth Rd (6238),,44.732648,-63.656151,,,,,,0
6239,6239,Bedford Hwy Before Larry Uteck Blvd (6239),,44.698155,-63.660918,,,,,,0
6240,6240,Bedford Hwy Before Holland Ave (6240),,44.718763,-63.674211,,,,,,0
6241,6241,Bedford Hwy Before Nelsons Landing Blvd (6241),,44.712883,-63.675355,,,,,,0
6242,6242,Bedford Hwy At Tall Trees Ln (6242),,44.688283,-63.65923,,,,,,0
6243,6243,Bedford Hwy At Civic 1749 (6243),,44.740991,-63.654938,,,,,,0
6244,6244,Bedford Hwy Before Sullivans Hill (6244),,44.722541,-63.670677,,,,,,0
6245,6245,Bedford Hwy After River Ln (6245),,44.737629,-63.654433,,,,,,0
6246,6246,Bedford Hwy After Kearney Lake Rd (6246),,44.681199,-63.658616,,,,,,0
6247,6247,Bedford Hwy After Cresthaven Dr (6247),,44.687286,-63.659045,,,,,,0
6248,6248,Bedford Hwy At Dakin Dr (6248),,44.68628,-63.659339,,,,,,0
6249,6249,Bedford Hwy Before Spring St (6249),,44.727057,-63.66582,,,,,,0
6250,6250,Bedford Hwy Before Flamingo Dr (6250),,44.674946,-63.64721,,,,,,0
6251,6251,Bedford Hwy After Flamingo Dr (6251),,44.674636,-63.647136,,,,,,0
6252,6252,Bedford Hwy After Forest Hill Dr (6252),,44.676741,-63.648828,,,,,,0
6253,6253,Bedford Hwy After Moirs Mill Rd (6253),,44.713615,-63.677285,,,,,,0
6254,6254,Bedford Hwy After Hammonds Plains Rd (6254),,44.715785,-63.677986,,,,,,0
6255,6255,Bedford Hwy Before Hammonds Plains Rd (6255),,44.716103,-63.678259,,,,,,0
6256,6256,Bedford Hwy After Kearney Lake Rd (6256),,44.683108,-63.660933,,,,,,0
6257,6257,Bedford Hwy After Meadowbrook Dr (6257),,44.724816,-63.669137,,,,,,0
6258,6258,Bedford Hwy At Millview Ave (6258),,44.708466,-63.666945,,,,,,0
6259,6259,Bedford Hwy After Nelsons Landing Blvd (6259),,44.712934,-63.675147,,,,,,0
6260,6260,Bedford Hwy After Oakmount Dr (6260),,44.739634,-63.654426,,,,,,0
6261,6261,Bedford Hwy Before Meadowbrook Dr (6261),,44.725153,-63.668452,,,,,,0
6262,6262,Bedford Hwy After Torrington Dr (6262),,44.680256,-63.655437,,,,,,0
